"	2020	2021	2022	2023	2024"
"Total assets	86.759,63	89.597,02	93.226,58	95.118,26	91.838,23"
"Equity	3.064,38	3.101,72	3.144,31	3.194,62	3.344,74"
"Net interest income	263,20	254,75	320,02	513,86	565,93"
"Net income	50,42	37,33	42,60	50,31	150,12"
"‘Hard’ Tier 1 capital ratio
(CET1 ratio)	20,39%	20,99%	20,61%	21,23%	22,47%"
"Total capital ratio	22,29%	22,79%	22,12%	22,51%	23,62%"
"Return on equity	4,33%	5,13%	5,56%	6,05%	10,33%"
"Cost-Income-Ratio	57,90%	64,11%	59,48%	61,31%	39,08%"
"Leverage Ratio	4,56%	7,82%	7,05%	7,00%	7,38%"
